NCPPB	NCPPB Notes	Taxon	Name	Name as Received	Sequencing - Sequenced	Other - Sequence type(s)	Other - Partial Gene Type	Other - Sequencing Notes	Other - URL link (NCBI)	Other - URL link (Q-bank)	Collection History - Year of Isolation	Collection History - Country of Isolation	Collection History - Isolated By	Collection History - Isolater's Reference	Collection History - Isolated From	Collection History - Country of Origin	Collection History - Year of Accession	Collection History - Donor	Collection History - Donor Reference	Collection History - Donor Institution	Collection History - Host	Reference - Other Collections	Other - Public Notes
3997		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Australia	1997	J. Elphinstone	R280	ex A.C. Hayward	Solanum tuberosum	"SMT 47, CFBP 4614"	"Biovar 3. RFLP 10 (Cook et al). SMT reference strain (EC official method),"
3996	2nd VC completed 2024 - HB; 3rd Vc completed 2026 MB 5.0x10^7	Ralstonia pseudosolanacearum		Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	No											Peru	1997	J. Elphinstone			Solanum lycopersicum	"SMT 46, CFBP 3928"	"Biovar 3. RFLP 9 (Cook et al). SMT reference strain (EC official method),"
																							
																							
3996	OX & HOST	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Peru	1997	J. Elphinstone			Lycopersicon esculentum	"SMT 46, CFBP 3928"	"Biovar 3. RFLP 9 (Cook et al). SMT reference strain (EC official method),"
3995	OX & HOST	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Costa Rica	1997	J. Elphinstone	R304	ex Sequeria	E. odoratum		Biovar 3. RFLP 13 (Cook et al) Phylotype I (NCPPB 2021)
3994	F.A.P. OX & HOST. 2nd VC completed 2013. 3rd VC completed 2023- HB	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												China	1997	J. Elphinstone	R290	ex He	Olea europaea		Biovar 3. RFLP 11 (Cook et al)
3994	F.A.P. OX & HOST. 2nd VC completed 2013. 3rd VC completed 2023- HB	Ralstonia psuedosolanacearum		Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												China	1997	J.Elphinstone	R290	ex He	Olea europea		
3993	OX & HOST	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Costa Rica	1997	J. Elphinstone	R284	ex Gonzalez	Capsicum hybrid		Biovar 3. RFLP 8 (Cook et al) Phylotype I (NCPPB 2021)
3992	OX & HOST. 2nd VC completed 2013. 2rd VC completed 2023- HB	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Australia	1997	J. Elphinstone	R278	ex A.C. Hayward	Nicotiana tabacum		Biovar 3. RFLP 12 (Cook et al)
3991	2nd VC done 2026- TMTC 5 years 	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	No											Costa Rica	1997	J. Elphinstone	R295	ex Gonzalez	Solanum tuberosum		RFLP 14 (Cook et al)
3990	OX & HOST	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Peru	1997	J. Elphinstone	R361	ex Turkensteen	Solanum tuberosum		Biovar 2T. RFLP 29 (Cook et al)
3989	OX & HOST 2nd VC completed 2025 - MB	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Brazil	1997	J. Elphinstone	R568	ex J.R. Neto	Solanum tuberosum	"SMT 45, CFBP 4613"	"Biovar 2T. RFLP 33 (Cook et al). SMT reference strain (EC official method),"
3988	2nd VC done 2026- TMTC 5 years 	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	No											Indonesia	1997	J. Elphinstone	R780		Solanum tuberosum		Biovar 2T.
3987	"2nd VC completed 2013, 3rd VC completed 2024 (HB)"	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Brazil	1997	J. Elphinstone	R590	ex J.R. Neto	Solanum tuberosum		Biovar 2T.
